word,onset1,vowel1,tone1,onset2,vowel2,tone2,specTilt_1,specTilt_2,specTilt_3,specTilt_4,jitter_1,jitter_2,jitter_3,jitter_4,shimmer_1,shimmer_2,shimmer_3,shimmer_4,hnr_1,hnr_2,hnr_3,hnr_4,amp_1,amp_2,amp_3,amp_4,f1_1,f1_2,f1_3,f1_4,f0_1,f0_2,f0_3,f0_4,specTilt_1_v2,specTilt_2_v2,specTilt_3_v2,specTilt_4_v2,jitter_1_v2,jitter_2_v2,jitter_3_v2,jitter_4_v2,shimmer_1_v2,shimmer_2_v2,shimmer_3_v2,shimmer_4_v2,hnr_1_v2,hnr_2_v2,hnr_3_v2,hnr_4_v2,amp_1_v2,amp_2_v2,amp_3_v2,amp_4_v2,f1_1_v2,f1_2_v2,f1_3_v2,f1_4_v2,f0_1_v2,f0_2_v2,f0_3_v2,f0_4_v2
nuni,n,u,M,n,i,L,-8.124980705,-7.393513665,-7.576405417,-10.26506561,0.00557,0.00309,0.00381,0.04415,0.08103,0.0503,0.05702,0.03547,15.73307078,19.26543192,23.2833326,21.0610175,61.02441711,61.72104165,61.23617024,58.49901353,1076.545756,792.0978868,792.1937665,653.6713256,126.4660964,125.1988575,123.7885086,120.7680209,-11.33756941,-11.64164337,-10.65045474,-3.782835156,0.12489,0.10736,0.11681,0.1458,0.39775,0.33599,0.19005,0.06474,5.607074474,5.489315856,6.141548766,3.436175714,57.24141991,56.29906078,54.2285479,49.73455792,418.9712845,395.2363064,332.122082,319.0155851,105.6325842,105.0476398,102.9174572,100.5682943
nunu,n,u,M,n,u,H,-14.8256931,-13.93708682,-16.0129122,-12.93915132,0.00155,0.00063,0.00239,0.00491,0.01805,0.01538,0.01854,0.04786,26.71761821,27.71033608,24.75259244,24.918024,64.72396227,65.08310257,64.96908934,64.21700305,908.4450337,871.1930472,845.6351124,931.6432566,140.3460071,140.3528448,139.1801404,137.4139039,-5.965984673,-6.555894566,-6.06094578,5.92610959,0.00389,0.00124,0.00116,0.01492,0.02375,0.01704,0.04189,0.145,20.29298562,24.27942704,22.65593583,14.46368324,61.77929783,62.5129735,61.11390934,55.80208372,808.0386442,848.6213058,854.1929165,615.0527254,156.7123335,156.9997578,156.4532888,151.5604528
nana,n,a,H,n,a,M,-12.86327707,-10.48558324,-11.14147609,-11.88952313,0.00439,0.00269,0.00175,0.00537,0.10902,0.01529,0.03057,0.09855,15.57715007,20.78057664,20.76909272,15.95213438,67.12113216,68.85550737,68.71184128,66.86892425,719.5432687,749.237362,710.320187,654.6802288,144.3158664,144.9453133,145.0487861,143.7083881,-10.33788756,-9.055408662,-5.558515391,-0.463897576,0.00192,0.00156,0.01365,0.00779,0.02598,0.01098,0.14681,0.21192,20.23073226,21.90552335,13.22100298,12.04316969,65.03202188,65.41117396,62.33592363,53.52114666,660.5768817,666.5719107,651.0049934,545.9521115,127.5663057,125.8833813,124.389438,120.95431
nuni,n,u,L,n,i,H,-12.53159772,-13.4058989,-10.62278528,-13.00712904,0.19962,NA,NA,NA,NA,NA,NA,NA,-0.732484595,-1.836816198,-1.66189143,-1.373314971,58.44314439,58.60203691,57.88084524,56.05927258,340.1823934,631.7188157,502.90005,493.6573301,104.9354422,104.3599393,100.9771164,96.89825098,-11.45574512,-10.43757308,-13.92026972,6.931166195,0.06488,0.01941,0.02249,0.00542,0.41575,0.16925,0.10618,0.06353,5.230523501,11.01797884,8.653086652,11.1827781,60.25699153,62.36740315,62.53632536,54.59760231,421.6216603,395.3388496,351.1686822,409.5624221,113.5887941,122.6088056,136.5717694,150.9519026
nini,n,i,L,n,i,L,10.31793982,7.587309995,-3.885201518,-15.05758819,0.14332,0.1508,0.14164,0.18791,0.15366,0.1917,0.31441,0.41466,0.666697826,1.37032072,1.712473678,1.365371371,58.61345259,58.75949417,57.97001227,56.67902794,423.8663391,443.7117974,457.9943027,557.3253935,229.0411567,214.8419488,141.2427614,104.7681388,-13.0687384,-12.95027543,-8.36040561,-5.349994147,0.13162,0.16879,0.23983,NA,0.34786,0.43286,0.39148,NA,5.325990275,4.798320087,1.586712926,-0.21561694,57.58609694,56.85254205,54.643685,51.68767653,472.3992206,458.1101705,464.3737964,455.1783985,103.8825419,102.7015098,98.74468803,98.17721857
nani,n,a,M,n,i,L,-12.79128622,-11.0925732,-9.592083121,-9.923986636,0.0031,0.00546,0.00032,0.00334,0.03294,0.04736,0.03385,0.06037,15.3152609,17.71135549,19.32353513,15.90262175,65.4060674,66.25941942,65.51062977,64.07720241,699.4874828,725.8193836,670.2264847,581.5662261,133.1437951,132.4908677,132.6894036,132.2566823,-13.72020134,-14.35402012,-13.89598685,1.014100476,0.08308,0.18504,0.19725,NA,NA,NA,0.37703,NA,4.151381815,3.060158767,2.649903214,0.602552069,59.3511676,58.11115103,56.10998478,50.74307904,469.1293631,401.2325782,364.4570889,339.9551662,108.6042118,104.1154869,102.3716753,103.8980836
nini,n,i,M,n,i,M,-13.23452711,-11.71829482,-12.20978954,-12.36751946,0.01043,0.00129,0.00338,0.00597,0.0341,0.02318,0.02424,0.07105,18.16828926,26.35277762,21.02190516,18.61733996,63.23526145,63.4495605,63.50627056,62.07861275,381.5634755,380.7343141,373.0193035,366.4520911,128.3363381,128.3826989,127.9664731,125.7825419,-11.76209534,-13.60240453,-9.865258156,-5.765995521,0.00702,0.00367,0.00327,0.00811,0.02327,0.03968,0.0262,0.25289,25.07770093,28.4032882,24.53855351,20.36070495,61.76182389,60.79129351,59.25836285,55.69267447,354.5257212,360.3610191,361.971877,357.9593484,127.1445755,125.5595419,125.279003,124.9472739
nina,n,i,M,n,a,M,-16.32651005,-15.0497438,-15.56247422,-14.91833399,0.00633,0.00168,0.00107,0.00245,0.00157,0.03082,0.00155,0.07663,16.48944887,21.83587766,27.01448489,19.90022476,61.73851788,62.26055655,62.70843441,62.11414081,385.0816408,383.4441666,389.3167812,387.0198119,128.6893017,129.7710376,130.0379434,129.5941867,-10.15649271,-7.862023603,-8.927519403,-2.921388117,0.0102,0.00212,0.00431,0.00832,0.02052,0.01242,0.04762,0.153,15.80361799,20.60992467,15.72636039,9.175764636,62.23948331,63.02742733,62.31469438,56.16187681,643.5508989,674.755773,676.3275446,648.950845,126.243129,125.8399729,127.2091868,127.4881798
nuna,n,u,L,n,a,H,-12.5422462,-10.36099616,-11.68861858,-11.65439093,0.03369,0.11986,0.13766,0.1914,0.31161,0.39182,NA,NA,4.930481149,4.172813856,3.152262924,2.561277482,59.93388432,58.62498787,58.53203756,57.79877635,414.1194117,459.3665033,655.7089262,786.0699839,113.8246073,112.3144573,111.5046377,109.5745945,-11.63482842,-9.103257829,-10.50617782,4.957221225,0.10201,0.01786,0.02235,0.01299,0.15645,0.05609,0.06609,0.24129,-1.652788206,1.107759598,-1.089509213,5.530965959,64.63568957,69.05341856,68.24413877,60.35463293,701.2882239,740.1255212,744.6717761,736.9326925,114.2381477,122.7224995,140.3562817,158.3239815
nini,n,i,M,n,i,H,-13.78208948,-13.22085821,-13.73419507,-14.62319988,0.0208,0.00227,0.00319,0.00522,0.06136,0.01245,0.01879,0.03858,17.33579402,22.8581084,19.78268874,19.2429344,64.06541791,65.02259755,64.91751632,63.46650209,348.787874,343.9855455,339.8555978,338.7305131,132.3757158,132.5898523,131.5110466,129.3148046,-2.972465398,-4.480787565,-2.103418046,2.554315749,0.00473,0.00243,0.00165,0.0301,0.02261,0.02969,0.06252,0.08614,18.03037531,22.57758263,20.24108295,12.77547219,61.23617129,60.80023376,58.83248801,54.02012113,384.0963242,408.176223,439.4599874,342.5124,151.2195014,153.3949113,153.4474532,145.9958677
