subj,word,onset1,vowel1,tone1,onset2,vowel2,tone2,trial,block,specTilt_1,specTilt_2,specTilt_3,specTilt_4,jitter_1,jitter_2,jitter_3,jitter_4,shimmer_1,shimmer_2,shimmer_3,shimmer_4,hnr_1,hnr_2,hnr_3,hnr_4,amp_1,amp_2,amp_3,amp_4,f1_1,f1_2,f1_3,f1_4,f0_1,f0_2,f0_3,f0_4,specTilt_1_v2,specTilt_2_v2,specTilt_3_v2,specTilt_4_v2,jitter_1_v2,jitter_2_v2,jitter_3_v2,jitter_4_v2,shimmer_1_v2,shimmer_2_v2,shimmer_3_v2,shimmer_4_v2,hnr_1_v2,hnr_2_v2,hnr_3_v2,hnr_4_v2,amp_1_v2,amp_2_v2,amp_3_v2,amp_4_v2,f1_1_v2,f1_2_v2,f1_3_v2,f1_4_v2,f0_1_v2,f0_2_v2,f0_3_v2,f0_4_v2
mz1,nunu,n,u,M,n,u,H,40,4,-8.060292053,-10.48030652,-10.46160494,-10.42818071,0.00608,0.00113,0.00166,0.00169,0.03576,0.01074,0.03375,0.06957,19.32278037,30.16470478,31.50077314,24.40841342,67.92610441,69.3556987,69.12450492,67.67431597,874.551677,839.2990745,881.8421313,993.2372276,141.3927042,140.0087338,139.3719444,140.047741,1.075921147,1.507939831,6.394107204,21.09824046,0.00375,0.00213,0.00817,0.01545,0.02047,0.02911,0.04474,0.24638,21.1948145,23.15074523,14.91935912,13.94972231,67.9810486,67.6153023,65.04693457,57.81559267,760.4675745,827.3243208,740.367363,858.0423699,163.8229722,165.0376594,165.8492337,159.0142914
mz1,nani,n,a,H,n,i,L,41,4,1.436514565,1.588637968,5.252116114,5.263979981,0.00656,0.00392,0.00245,0.00088,0.15244,0.02534,0.05054,0.06751,12.69873667,12.35380247,14.98188604,15.21961431,74.23946354,77.28624465,78.04706379,74.36262267,749.3317153,773.1276264,747.7740295,699.153414,166.2784958,169.960217,172.4178428,173.524538,1.110157706,-9.518958572,-0.203088154,5.032755275,0.01177,0.04586,0.11218,NA,0.05308,0.07577,0.32776,NA,5.414259506,5.912634438,3.006153764,1.845592079,66.27474781,68.62830606,66.4592513,54.23286683,462.5194166,397.1296522,384.1010241,312.8580812,163.353517,141.3559745,132.0576093,142.2372765
mz1,nuna,n,u,M,n,a,L,42,4,-3.289237989,-4.177633283,-4.258003892,-6.665079654,0.00335,0.00131,0.00166,0.02834,0.01977,0.01444,0.01356,0.02613,25.23528203,26.91073786,21.77288763,13.67717017,65.2225333,65.97701362,66.26431085,66.24049429,876.1435132,867.2850702,908.5150463,933.5392919,148.2543829,148.7005498,148.4438066,146.8811442,-12.14206177,-10.99422901,-9.746663684,NA,0.02309,NA,NA,NA,0.05998,NA,NA,NA,0.464268713,-3.21504341,-3.617512812,-4.233805142,69.09021754,69.11425382,65.55735203,57.46946139,578.1291198,679.4033422,701.1355312,722.6735936,126.0256844,114.4226896,105.0713223,NA
mz1,nuni,n,u,L,n,i,L,43,4,-0.311736601,-9.643840512,-11.80700616,-9.717863001,0.05294,0.07573,0.13057,0.1812,0.3848,NA,NA,NA,4.609616331,4.341714137,3.083531006,1.316597082,66.54542683,66.19888096,64.75923479,63.04382245,395.8583109,565.785136,878.7988765,1020.657674,128.6130303,113.5152565,110.2114301,106.3735621,-12.60931347,-11.82983709,-4.535290928,-6.215003823,0.05882,0.07576,0.21362,NA,0.18981,0.2922,0.01282,NA,6.896848512,5.37894118,-1.162223718,-2.337728634,66.51055767,63.94325497,58.14901547,51.00328053,391.202429,398.2002659,440.8150243,424.9909525,110.3999094,106.4177108,103.4326881,109.5292847
mz1,nani,n,a,M,n,i,L,44,4,-9.762113318,-10.40368563,-10.2642895,-10.12591649,0.00773,0.00412,0.00452,0.00467,0.20656,0.04573,0.00442,0.06918,12.40932337,14.62027835,13.87208746,13.23635159,71.15464658,73.74055905,74.51938896,72.52531579,671.8693398,708.6001222,686.2435429,629.849495,140.3661639,139.9360376,141.6277924,141.4653173,-14.4180311,-11.86880109,2.185096931,3.322192689,0.03512,0.07845,0.08565,0.04598,NA,NA,0.00727,0.16175,7.429186985,6.748540218,0.517119949,3.310558998,67.84100276,65.99045491,59.95470241,53.62430828,410.8343744,336.5272525,287.6946685,301.7928264,115.6730921,118.9846278,140.638471,138.5542025
mz1,nunu,n,u,H,n,u,M,45,4,0.486424065,0.610517829,0.457071455,-1.513190573,0.00493,0.00151,0.00461,0.00658,0.06481,0.01691,0.00839,0.07788,15.95240496,21.32830843,16.54313575,15.32908999,65.96687306,66.52180971,66.6579623,65.74853373,814.2667446,801.1069477,850.9651292,929.901055,159.2571689,161.0624494,160.2112129,157.7723381,-10.2961721,-11.4662408,-9.707028414,-0.512343257,0.00745,0.00423,0.00292,0.01166,0.0667,0.0191,0.09674,0.20121,17.13639204,20.33304565,20.01677569,13.94316884,66.86991993,67.64831737,64.58283623,54.45453762,705.2385611,751.0776553,826.2761436,839.6053133,140.8772781,135.7907708,135.0183751,134.5646397
mz1,nanu,n,a,M,n,u,M,46,4,-9.432904881,-10.17775284,-10.99117695,-10.6983527,0.00694,0.00166,0.00509,0.00157,0.11735,0.01134,0.04648,0.06896,11.76152525,19.20804551,14.137043,16.51202489,71.85784317,73.09122461,72.8570543,71.26682922,709.5352532,736.5416004,689.5023283,620.9941289,135.1217464,134.2694458,135.8319936,137.3839401,-13.49355157,-11.36574467,-8.578929325,-0.953948717,0.0011,0.00218,0.00494,0.02846,0.02112,0.0225,0.12688,0.29374,27.15481079,24.3757667,17.65161454,13.11093429,67.99681406,67.30727114,64.05888202,55.14824354,852.9319292,805.9120783,608.0627271,829.6231885,133.6288557,133.7514766,134.6599741,129.5762428
mz1,nana,n,a,H,n,a,H,47,4,-1.459211269,-0.223601724,2.217040029,1.771240626,0.00632,0.00445,0.00641,0.0038,0.18514,0.02867,0.03154,0.13557,12.74183093,13.29254284,9.666455144,14.90513753,70.90456002,74.80287763,74.66146424,72.1856747,736.3616671,758.6797697,777.0335801,762.224522,155.3373479,158.1571467,161.8584375,164.581592,1.493664385,3.15782881,6.76202318,18.82899442,0.00404,0.00456,0.01776,0.01463,0.05164,0.01321,0.22448,0.26353,17.33464768,17.8174864,10.36601816,8.755548057,71.43558817,72.93540948,67.788026,55.71719709,709.201976,746.8984608,722.5451337,521.4681725,161.131721,160.6728989,160.2313526,149.8271481
mz1,nuni,n,u,H,n,i,M,48,4,1.024749685,0.891207229,1.156586842,-1.041277006,0.0067,0.00236,0.00264,0.00866,0.04178,0.0148,0.00549,0.03038,19.27743671,23.75524344,16.8222711,11.60827918,66.93070572,68.24314493,68.35907438,67.27270304,801.7764351,752.9586086,806.6955359,773.3314905,162.1478679,163.7288995,162.4617901,157.984372,-9.892360149,-10.80041505,-10.36528738,-3.592390816,0.00633,0.00138,0.00777,0.02139,0.06222,0.0237,0.07646,0.2311,20.15468717,24.41887746,20.29042866,13.63369953,68.11879632,68.20935745,65.40933434,57.17148543,341.9049921,334.1935686,333.7424234,302.7271492,138.5578067,136.5001531,136.3536985,131.9983233
mz1,ninu,n,i,L,n,u,L,49,4,-11.4655611,-13.55833107,-12.95724183,-13.87467723,0.00575,0.00662,0.00403,0.0088,0.03245,0.03795,0.41774,0.37381,16.86971659,12.87620345,5.745997777,6.164571762,67.60310489,68.81993941,68.47995249,66.85982849,365.149467,368.0175598,375.3235967,377.7289764,122.5083861,120.3364127,118.3853314,115.1335234,-10.62099235,-5.96180215,-5.211203702,-2.685266743,0.20658,NA,NA,NA,NA,NA,NA,NA,-1.008149797,-3.185217422,-3.49773564,-2.843134821,63.07833029,62.34226416,60.74187773,54.006921,490.7245093,528.0607036,654.7693181,425.80108,105.4162219,101.7833602,102.9970158,112.8813527
