,subj,block,trial,error,F0_error,carrier_word,target_word,target_start,target_end,target_dur,target_sylons,target_sylonsvoice,target_sylonsclass,target_vowel,target_tone,target_sylonsdur,target_voweldur,specTilt_1,specTilt_2,specTilt_3,specTilt_4,jitter_1,jitter_2,jitter_3,jitter_4,shimmer_1,shimmer_2,shimmer_3,shimmer_4,hnr_1,hnr_2,hnr_3,hnr_4,amp_1,amp_2,amp_3,amp_4,f1_1,f1_2,f1_3,f1_4,f2_1,f2_2,f2_3,f2_4,f3_1,f3_2,f3_3,f3_4,f0_1,f0_2,f0_3,f0_4
31,MM02,1,31,FALSE,FALSE,say,lO,2.056732988,2.380456459,0.323723472,l,,sonorant,O,L,0.105958406,0.217765066,-6.602329485,-0.682388869,-2.840844337,3.636248643,0.01321,NA,NA,NA,NA,NA,NA,NA,-5.395532579,-2.001950378,0.056318447,-0.420708262,68.03430969,62.96922604,60.15466083,53.92320334,347.9719143,607.0434476,564.9090963,622.5278144,1579.128863,1300.005024,1097.074203,772.3319344,2886.903228,2632.447946,2851.794315,2727.807374,117.3295165,102.7185822,91.23007789,84.86568964
32,MM02,1,32,FALSE,FALSE,say,lu,2.065520441,2.397603061,0.33208262,l,,sonorant,u,H,0.158846886,0.173235734,7.839212611,2.529764717,10.71910266,7.739102811,0.01291,0.00612,0.00496,0.03925,0.07639,0.02952,0.12967,0.29404,18.80069674,22.76690566,20.10668098,14.21154289,72.55307924,70.89815038,67.53692649,57.29675537,291.5590184,291.7862604,518.0335941,718.6303973,1230.858961,1118.165947,1673.219446,2146.997124,2499.803639,2583.344236,3002.069065,3624.229942,152.3551298,155.6702902,154.3242098,155.3134536
33,MM02,1,33,FALSE,FALSE,say,te,2.85104323,3.094415341,0.243372111,t,,obstruent,e,L,0.041636214,0.201735897,4.384377252,-3.031314693,-5.232572575,6.043398817,0.05515,0.0752,0.03307,0.01649,0.11783,0.1548,0.08157,NA,3.945529941,-0.709907532,5.756859237,5.475631916,72.4519051,67.08047532,60.25094025,53.41589794,322.2597848,305.2071344,283.1355038,344.3575968,2032.23477,2229.463193,2235.09629,2280.723646,2743.316635,2867.198513,3020.472592,2963.490638,132.2282945,106.4396986,92.93879111,88.31438505
34,MM02,1,34,FALSE,FALSE,say,te,2.774963163,3.08566803,0.310704867,t,,obstruent,e,H,0.070374885,0.240329982,-5.298152794,-4.493343,1.481387862,10.52348703,0.02864,0.00401,0.00321,0.01523,0.09194,0.04135,0.12639,0.20593,10.57566208,19.39516273,18.92701828,13.76875102,75.76694278,75.51534301,69.91545205,59.3762653,388.1078251,382.0469853,339.0293797,263.2473601,2245.346177,2263.164431,2186.980006,2073.873594,2540.514593,2468.101507,2513.956988,2604.41829,168.4516487,155.9351898,155.3297163,157.9098119
35,MM02,1,35,FALSE,FALSE,say,lo,3.225859276,3.622043186,0.39618391,l,,sonorant,o,H,0.131450658,0.264733252,-3.345460065,-2.289564512,7.164527806,9.048425691,0.00657,0.00239,0.00619,0.01677,0.05398,0.07347,0.11169,0.14753,25.61403681,26.02457139,19.81741958,16.62754488,75.22508141,70.9090932,62.95536341,55.30625364,367.7020274,333.2544929,388.2483678,299.7535507,757.8461489,731.6311089,1211.12525,1065.443914,2654.350038,2696.982989,2942.20688,2846.782855,153.6173573,154.9277599,155.9108225,152.7805337
36,MM02,1,36,FALSE,FALSE,say,tE,3.005420836,3.358530075,0.353109239,t,,obstruent,E,M,0.022170062,0.330939177,3.188310272,0.64287932,4.589542042,23.94753795,0.02662,0.01322,0.005,0.00822,0.09921,0.07637,0.05469,0.12035,6.48082449,9.425375107,10.8359973,11.55513749,73.34292972,69.33464245,63.75660895,58.15089284,552.0195023,560.1705678,439.5843745,1200.511776,1978.48071,1989.962281,1922.057593,2275.326119,2606.360263,2565.593815,2492.903374,3098.159447,139.2294366,129.2976506,133.8366238,138.7243794
37,MM02,1,37,FALSE,FALSE,say,nE,3.165776176,3.593253968,0.427477792,n,,sonorant,E,L,0.151799655,0.275678137,10.03055812,8.336083544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.403485268,1.98071427,1.956504503,2.265703469,66.25968258,63.06997122,58.61277251,52.44292085,548.7088043,727.8934729,1470.182437,1469.297071,2036.806866,2176.67289,2304.223487,2232.551519,2647.769288,2643.807272,3085.790189,3044.01253,110.1241996,100.6356128,NA,NA
38,MM02,1,38,FALSE,FALSE,say,li,1.622119155,2.025492111,0.403372956,l,,sonorant,i,L,0.147859933,0.255513023,10.38934329,8.626707063,5.991074938,0.012670616,0.02311,NA,NA,NA,0.11959,NA,NA,NA,6.990430967,6.868545697,5.022384633,0.284758525,58.38353419,62.55268596,57.10581978,47.11923801,562.7232098,786.2715844,1140.317319,2131.257928,2244.163319,2311.897303,2715.283655,2763.845093,2916.64985,3385.003578,3837.061464,3680.083268,112.6840546,109.1249486,96.91616518,88.66493088
39,MM02,1,39,FALSE,FALSE,say,ne,3.159271103,3.50833036,0.349059257,n,,sonorant,e,L,0.114141502,0.234917755,0.457018588,-2.486834086,-0.926804636,-10.32510977,NA,0.01722,0.01477,NA,NA,0.40369,0.2499,NA,2.646000635,0.04976731,1.837474429,0.202724473,61.43374973,63.71190432,59.8818059,55.20656562,405.3691188,419.9719971,400.5729944,401.5133475,1991.318525,2139.675269,2226.803241,2243.621902,2690.466097,2633.555716,2703.333963,2548.855148,112.3826129,108.5581675,100.3562815,95.99983788
40,MM02,1,40,FALSE,FALSE,say,lO,3.136018269,3.529111709,0.39309344,l,,sonorant,O,H,0.153682808,0.239410632,-2.747156077,-3.141732854,0.402983935,9.125333837,0.00677,0.00329,0.0027,0.01165,0.05515,0.0676,0.082,0.17587,17.41020724,18.37134516,20.34407319,15.39423663,75.32662173,73.00080888,66.94404752,57.25501456,523.6111107,520.9812352,518.4474568,590.9563109,1042.029874,927.0403371,915.0537433,1780.715077,2646.096691,2690.286714,2704.7466,2967.425326,161.9757694,160.644988,158.8554484,159.2247186
